sample_id,true_class,source_file,row_start,row_end,image_path_2d,image_path_3d
Backdoor_Malware_0000,Backdoor_Malware,../networksecurity/data/CSV/Backdoor_Malware/Backdoor_Malware.pcap.csv,1843,1873,results/viz/2d/Backdoor_Malware/Backdoor_Malware_0000.png,results/viz/3d/Backdoor_Malware/Backdoor_Malware_0000.png
Backdoor_Malware_0001,Backdoor_Malware,../networksecurity/data/CSV/Backdoor_Malware/Backdoor_Malware.pcap.csv,1990,2020,results/viz/2d/Backdoor_Malware/Backdoor_Malware_0001.png,results/viz/3d/Backdoor_Malware/Backdoor_Malware_0001.png
Backdoor_Malware_0002,Backdoor_Malware,../networksecurity/data/CSV/Backdoor_Malware/Backdoor_Malware.pcap.csv,2179,2209,results/viz/2d/Backdoor_Malware/Backdoor_Malware_0002.png,results/viz/3d/Backdoor_Malware/Backdoor_Malware_0002.png
Backdoor_Malware_0003,Backdoor_Malware,../networksecurity/data/CSV/Backdoor_Malware/Backdoor_Malware.pcap.csv,2859,2889,results/viz/2d/Backdoor_Malware/Backdoor_Malware_0003.png,results/viz/3d/Backdoor_Malware/Backdoor_Malware_0003.png
Backdoor_Malware_0004,Backdoor_Malware,../networksecurity/data/CSV/Backdoor_Malware/Backdoor_Malware.pcap.csv,3008,3038,results/viz/2d/Backdoor_Malware/Backdoor_Malware_0004.png,results/viz/3d/Backdoor_Malware/Backdoor_Malware_0004.png
Benign_Final_0000,Benign_Final,../networksecurity/data/CSV/Benign_Final/BenignTraffic.pcap.csv,103288,103318,results/viz/2d/Benign_Final/Benign_Final_0000.png,results/viz/3d/Benign_Final/Benign_Final_0000.png
Benign_Final_0001,Benign_Final,../networksecurity/data/CSV/Benign_Final/BenignTraffic.pcap.csv,108759,108789,results/viz/2d/Benign_Final/Benign_Final_0001.png,results/viz/3d/Benign_Final/Benign_Final_0001.png
Benign_Final_0002,Benign_Final,../networksecurity/data/CSV/Benign_Final/BenignTraffic1.pcap.csv,269730,269760,results/viz/2d/Benign_Final/Benign_Final_0002.png,results/viz/3d/Benign_Final/Benign_Final_0002.png
Benign_Final_0003,Benign_Final,../networksecurity/data/CSV/Benign_Final/BenignTraffic2.pcap.csv,1634,1664,results/viz/2d/Benign_Final/Benign_Final_0003.png,results/viz/3d/Benign_Final/Benign_Final_0003.png
Benign_Final_0004,Benign_Final,../networksecurity/data/CSV/Benign_Final/BenignTraffic3.pcap.csv,64873,64903,results/viz/2d/Benign_Final/Benign_Final_0004.png,results/viz/3d/Benign_Final/Benign_Final_0004.png
BrowserHijacking_0000,BrowserHijacking,../networksecurity/data/CSV/BrowserHijacking/BrowserHijacking.pcap.csv,694,724,results/viz/2d/BrowserHijacking/BrowserHijacking_0000.png,results/viz/3d/BrowserHijacking/BrowserHijacking_0000.png
BrowserHijacking_0001,BrowserHijacking,../networksecurity/data/CSV/BrowserHijacking/BrowserHijacking.pcap.csv,765,795,results/viz/2d/BrowserHijacking/BrowserHijacking_0001.png,results/viz/3d/BrowserHijacking/BrowserHijacking_0001.png
BrowserHijacking_0002,BrowserHijacking,../networksecurity/data/CSV/BrowserHijacking/BrowserHijacking.pcap.csv,2727,2757,results/viz/2d/BrowserHijacking/BrowserHijacking_0002.png,results/viz/3d/BrowserHijacking/BrowserHijacking_0002.png
BrowserHijacking_0003,BrowserHijacking,../networksecurity/data/CSV/BrowserHijacking/BrowserHijacking.pcap.csv,4644,4674,results/viz/2d/BrowserHijacking/BrowserHijacking_0003.png,results/viz/3d/BrowserHijacking/BrowserHijacking_0003.png
BrowserHijacking_0004,BrowserHijacking,../networksecurity/data/CSV/BrowserHijacking/BrowserHijacking.pcap.csv,4783,4813,results/viz/2d/BrowserHijacking/BrowserHijacking_0004.png,results/viz/3d/BrowserHijacking/BrowserHijacking_0004.png
CommandInjection_0000,CommandInjection,../networksecurity/data/CSV/CommandInjection/CommandInjection.pcap.csv,1370,1400,results/viz/2d/CommandInjection/CommandInjection_0000.png,results/viz/3d/CommandInjection/CommandInjection_0000.png
CommandInjection_0001,CommandInjection,../networksecurity/data/CSV/CommandInjection/CommandInjection.pcap.csv,2393,2423,results/viz/2d/CommandInjection/CommandInjection_0001.png,results/viz/3d/CommandInjection/CommandInjection_0001.png
CommandInjection_0002,CommandInjection,../networksecurity/data/CSV/CommandInjection/CommandInjection.pcap.csv,2571,2601,results/viz/2d/CommandInjection/CommandInjection_0002.png,results/viz/3d/CommandInjection/CommandInjection_0002.png
CommandInjection_0003,CommandInjection,../networksecurity/data/CSV/CommandInjection/CommandInjection.pcap.csv,3867,3897,results/viz/2d/CommandInjection/CommandInjection_0003.png,results/viz/3d/CommandInjection/CommandInjection_0003.png
CommandInjection_0004,CommandInjection,../networksecurity/data/CSV/CommandInjection/CommandInjection.pcap.csv,5325,5355,results/viz/2d/CommandInjection/CommandInjection_0004.png,results/viz/3d/CommandInjection/CommandInjection_0004.png
DDoS-ACK_Fragmentation_0000,DDoS-ACK_Fragmentation,../networksecurity/data/CSV/DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation.pcap.csv,24947,24977,results/viz/2d/DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation_0000.png,results/viz/3d/DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation_0000.png
DDoS-ACK_Fragmentation_0001,DDoS-ACK_Fragmentation,../networksecurity/data/CSV/DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation1.pcap.csv,18080,18110,results/viz/2d/DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation_0001.png,results/viz/3d/DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation_0001.png
DDoS-ACK_Fragmentation_0002,DDoS-ACK_Fragmentation,../networksecurity/data/CSV/DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation10.pcap.csv,18009,18039,results/viz/2d/DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation_0002.png,results/viz/3d/DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation_0002.png
DDoS-ACK_Fragmentation_0003,DDoS-ACK_Fragmentation,../networksecurity/data/CSV/DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation11.pcap.csv,15917,15947,results/viz/2d/DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation_0003.png,results/viz/3d/DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation_0003.png
DDoS-ACK_Fragmentation_0004,DDoS-ACK_Fragmentation,../networksecurity/data/CSV/DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation12.pcap.csv,5880,5910,results/viz/2d/DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation_0004.png,results/viz/3d/DDoS-ACK_Fragmentation/DDoS-ACK_Fragmentation_0004.png
DDoS-HTTP_Flood_0000,DDoS-HTTP_Flood,../networksecurity/data/CSV/DDoS-HTTP_Flood/DDoS-HTTP_Flood-.pcap.csv,6192,6222,results/viz/2d/DDoS-HTTP_Flood/DDoS-HTTP_Flood_0000.png,results/viz/3d/DDoS-HTTP_Flood/DDoS-HTTP_Flood_0000.png
