Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
9.76,6,69.17,486.6131902758667,0.0,0.02,0.0,0.0,0.43,0.0,0.0,43,2,0,0,0.0,0.02,0.03,0.0,0.0,0.0,0.0,0.43,0.1,0.0,0.05,0.01,0.0,0.95,0.95,78082,60,1514,780.82,609.4727209447177,780.82,0.0020550203323364,100,371456.9975757578
9.56,6,62.25,1659.421499701294,0.0,0.0,0.0,0.0,0.45,0.0,0.0,45,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.07,0.0,0.04,0.0,0.0,0.96,0.96,86376,60,1514,863.76,595.0378159615087,863.76,0.0006905889511108,100,354070.00242424227
9.88,6,64.0,2667.5892948000405,0.0,0.0,0.0,0.0,0.49,0.0,0.0,49,0,0,0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.49,0.01,0.0,0.01,0.0,0.0,0.99,0.99,92786,60,1514,927.86,578.4733132491192,927.86,0.0003748798370361,100,334631.37414141354
10.8,6,73.34,1441.440648841845,0.0,0.05,0.0,0.0,0.44,0.02,0.02,44,5,0,0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.49,0.04,0.0,0.01,0.02,0.0,0.99,0.99,84283,60,1514,842.83,604.1472837852132,842.83,0.0006937599182128,100,364993.9405050509
9.6,6,62.07,437.5100659659781,0.0,0.01,0.0,0.0,0.47,0.0,0.0,47,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.06,0.01,0.0,0.94,0.94,87380,60,1514,873.8,599.3207266008183,873.8,0.0022856712341308,100,359185.33333333273
10.6,6,68.03,1466.1246290386289,0.0,0.03,0.0,0.0,0.5,0.0,0.0,50,3,0,0,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.5,0.02,0.0,0.0,0.01,0.0,1.0,1.0,88000,60,1514,880.0,591.9405512056225,880.0,0.0006820797920227,100,350393.61616161617
9.92,6,67.94,596.2171244346014,0.0,0.01,0.0,0.02,0.49,0.0,0.0,49,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.01,0.0,0.03,0.01,0.0,0.97,0.97,86276,60,1514,862.76,597.0889671962418,862.76,0.0016824698448181,100,356515.2347474748
10.08,6,64.59,2420.6612762666573,0.0,0.0,0.0,0.0,0.5,0.0,0.0,50,0,0,0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.5,0.01,0.0,0.0,0.0,0.0,1.0,1.0,92655,60,1514,926.55,580.2518327363904,926.55,0.0004131197929382,100,336692.18939394
10.6,6,64.13,917.2127849407811,0.0,0.02,0.0,0.01,0.49,0.0,0.0,49,2,0,0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.49,0.05,0.0,0.01,0.0,0.0,0.99,0.99,87627,60,1514,876.27,595.9290320265673,876.27,0.0010940504074096,100,355131.41121212137
9.96,6,62.93,932.1317690774254,0.0,0.0,0.0,0.01,0.49,0.0,0.0,49,0,0,0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.49,0.02,0.0,0.01,0.0,0.0,0.99,0.99,89769,60,1514,897.69,585.7992156969069,897.69,0.0010728192329406,100,343160.7211111113
10.24,6,66.49,544.511143883846,0.0,0.0,0.01,0.03,0.48,0.0,0.0,48,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.05,0.0,0.04,0.0,0.0,0.96,0.96,83963,60,1514,839.63,607.5777816107748,839.63,0.0018401503562927,100,369150.7607070703
