Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
0.24,47,64.0,3988.838907856321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,1.0,1.0,56326,84,578,563.26,84.23999146258365,563.26,0.000250699520111,100,7096.376161616166
0.0,47,64.0,5156.508482911237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1.0,1.0,57320,98,578,573.2,48.00000000000007,573.2,0.0001952505111694,100,2304.000000000007
0.0,47,64.0,2756.6357547994453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,57800,578,578,578.0,0.0,578.0,0.0003634214401245,100,0.0
0.0,47,64.0,13734.704302835811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,57800,578,578,578.0,0.0,578.0,7.352828979492187e-05,100,0.0
0.64,47,65.79,2448.342206033436,0.0,0.01,0.0,0.0,0.01,0.0,0.0,1,1,0,0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.01,0.0,1.0,1.0,56309,74,590,563.09,75.59676319830518,563.09,0.0004084396362304,100,5714.870606060628
0.0,47,64.0,13139.22686548462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,57800,578,578,578.0,0.0,578.0,7.611989974975586e-05,100,0.0
0.0,47,64.0,1411.76724021865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,57800,578,578,578.0,0.0,578.0,0.0007091522216796,100,0.0
0.0,47,62.08,805.0363909959156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.97,0.97,55766,60,578,557.66,100.20183872987802,557.66,0.0012421798706054,100,10040.408484848484
0.92,47,66.98,187.9505287685965,0.0,0.01,0.01,0.0,0.02,0.0,0.0,2,1,0,1,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.02,0.04,0.02,0.08,0.05,0.0,0.92,0.92,49361,54,590,493.61,185.29184705717265,493.61,0.0058163881301879,100,34333.06858585866
0.08,47,64.64,832.8129126284919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,1.0,1.0,56912,98,578,569.12,62.682344911756175,569.12,0.0012007498741149,100,3929.076363636365
0.32,47,63.36,908.3967547853056,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1,0,0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.0,0.99,0.99,56794,60,590,567.94,72.51858974487756,567.94,0.0011008405685424,100,5258.945858585861
0.96,47,61.8,391.1199636696964,0.0,0.01,0.0,0.01,0.02,0.0,0.0,2,1,0,0,0.0,0.01,0.04,0.0,0.0,0.0,0.0,0.02,0.05,0.0,0.04,0.0,0.0,0.96,0.96,52511,58,578,525.11,153.71407899346124,525.11,0.002559220790863,100,23628.018080808044
0.0,47,62.72,1707.2154541865264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.98,0.98,56764,60,578,567.64,72.88534236259811,567.64,0.0005857586860656,100,5312.273131313139
1.68,47,65.07,984.3196155001502,0.0,0.01,0.0,0.03,0.04,0.0,0.0,4,1,0,0,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.05,0.02,0.0,0.03,0.07,0.0,0.97,0.97,56568,58,1500,565.68,202.6909315617591,565.68,0.0010164618492126,100,41083.61373737372
0.0,47,64.54,1690.815273477812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1.0,1.0,57320,98,578,573.2,48.00000000000001,573.2,0.0005949902534484,100,2304.000000000001
0.4,47,66.55,1928.4865650230813,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,1.0,1.0,56328,58,578,563.28,84.21786081828523,563.28,0.0005199193954467,100,7092.648080808063
0.0,47,64.0,4204.183832005212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,57800,578,578,578.0,0.0,578.0,0.0002386784553527,100,0.0
0.0,47,64.0,13902.234007292012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,57800,578,578,578.0,0.0,578.0,7.244110107421874e-05,100,0.0
0.24,47,65.04,2431.085968654364,0.0,0.01,0.0,0.0,0.01,0.0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.99,0.99,56282,58,578,562.82,86.81111272716932,562.82,0.0004124188423156,100,7536.169292929298
0.16,47,64.58,2157.031185715461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.99,0.99,56381,60,578,563.81,81.43097653469432,563.81,0.0004661417007446,100,6631.003939393937
0.16,47,67.82,2442.653062413008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,1.0,1.0,57075,81,578,570.75,54.47052302656804,570.75,0.0004166603088378,100,2967.037878787879
0.76,47,65.67,2795.419949080924,0.0,0.01,0.0,0.0,0.02,0.0,0.0,2,1,0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,1.0,1.0,56432,58,578,564.32,79.3145992649882,564.32,0.0003577280044555,100,6290.805656565667
0.16,47,64.65,927.5329500221142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.03,0.01,1.0,1.0,55190,46,578,551.9,106.62248137871066,551.9,0.0010820508003234,100,11368.353535353504
0.0,47,64.0,4400.0503545801685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,57800,578,578,578.0,0.0,578.0,0.0002297210693359,100,0.0
0.0,47,64.0,1333.2095790872277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1.0,1.0,57812,578,590,578.12,1.1999999999999984,578.12,0.0007535886764526,100,1.4399999999999964
