strategy,corpus_size,k,mean_tokens,mean_cost_usd,mean_latency_ms,recall_at_k,index_build_time_s,n_queries_evaluated
full_corpus,15,15,1198.1,0.003594,0.0004,1.0,0.0,45
rag,15,5,432.4,0.001297,1.0872,0.9333,0.0051,45
full_corpus,50,50,2444.7,0.007334,0.0008,1.0,0.0,45
rag,50,5,315.7,0.000947,0.2862,0.8667,0.0018,45
full_corpus,100,100,4321.9,0.012966,0.0013,1.0,0.0,45
rag,100,5,287.3,0.000862,0.2846,0.8667,0.0016,45
full_corpus,500,500,19175.7,0.057527,0.0061,1.0,0.0,45
rag,500,5,264.1,0.000792,0.3308,0.6667,0.0049,45
full_corpus,1000,1000,37256.3,0.111769,0.0111,1.0,0.0,45
rag,1000,5,261.6,0.000785,0.3625,0.6667,0.0092,45
full_corpus,2000,2000,73435.3,0.220306,0.0233,1.0,0.0,45
rag,2000,5,282.9,0.000849,0.4504,0.6667,0.0175,45
