strategy,corpus_size,k,mean_tokens,mean_cost_usd,mean_latency_ms,p95_latency_ms,recall_at_k,index_build_time_s,index_build_tokens,n_queries_evaluated
full_corpus,100,100,3484.8,0.010455,0.0012,0.0015,1.0,0.0,0,60
rag,100,5,187.9,0.000564,0.3046,0.3917,0.65,0.0031,3470,60
full_corpus,500,500,18375.3,0.055126,0.0055,0.0071,1.0,0.0,0,60
rag,500,5,180.6,0.000542,0.311,0.3479,0.65,0.0049,18368,60
full_corpus,1000,1000,36455.5,0.109367,0.0112,0.0143,1.0,0.0,0,60
rag,1000,5,185.6,0.000557,0.3604,0.4027,0.6,0.0089,36464,60
full_corpus,2000,2000,72634.6,0.217904,0.0226,0.0284,1.0,0.0,0,60
rag,2000,5,193.8,0.000581,0.4465,0.5025,0.6,0.0173,72674,60
full_corpus,5000,5000,181717.5,0.545152,0.0711,0.094,1.0,0.0,0,60
rag,5000,5,188.7,0.000566,0.7077,0.8753,0.7,0.0428,181844,60
full_corpus,10000,10000,362721.7,1.088165,0.3534,0.4103,1.0,0.0,0,60
rag,10000,5,185.4,0.000556,1.2785,1.6877,0.7,0.0835,363002,60
