strategy,embedder,corpus_size,k,mean_tokens,mean_cost_usd,mean_latency_ms,recall_at_k,recall_ci_lo,recall_ci_hi,index_build_time_s,n_queries_evaluated
rag,tfidf,2000,1,94.2,0.000283,0.4789,0.4889,0.3889,0.5889,0.0186,90
rag,tfidf,2000,3,219.4,0.000658,0.4705,0.6667,0.5667,0.7556,0.0239,90
rag,tfidf,2000,5,322.5,0.000967,0.4456,0.7111,0.6222,0.8,0.0175,90
rag,tfidf,2000,10,526.3,0.001579,0.4407,0.7111,0.6222,0.8,0.0175,90
rag,tfidf,2000,15,715.0,0.002145,0.4467,0.7333,0.6444,0.8222,0.0174,90
rag,tfidf,2000,20,904.3,0.002713,0.446,0.7333,0.6444,0.8222,0.0175,90
rag,bm25,2000,1,99.7,0.000299,2.0091,0.4222,0.3222,0.5222,0.0099,90
rag,bm25,2000,3,250.9,0.000753,2.0082,0.6444,0.5444,0.7444,0.0095,90
rag,bm25,2000,5,381.8,0.001145,1.9899,0.6667,0.5667,0.7667,0.0093,90
rag,bm25,2000,10,627.5,0.001883,2.0008,0.6889,0.5889,0.7778,0.0095,90
rag,bm25,2000,15,833.7,0.002501,2.0195,0.7111,0.6111,0.8,0.0441,90
rag,bm25,2000,20,1039.9,0.00312,1.9889,0.7111,0.6111,0.8,0.0095,90
rag,lsa,2000,1,91.0,0.000273,0.3537,0.4667,0.3667,0.5667,0.067,90
rag,lsa,2000,3,212.9,0.000639,0.4249,0.6444,0.5444,0.7444,0.0862,90
rag,lsa,2000,5,310.5,0.000932,0.3604,0.6889,0.5889,0.7778,0.0732,90
rag,lsa,2000,10,509.7,0.001529,0.4184,0.6889,0.5889,0.7778,0.0762,90
rag,lsa,2000,15,696.3,0.002089,0.3637,0.7111,0.6222,0.8,0.0741,90
rag,lsa,2000,20,879.9,0.00264,0.3612,0.7111,0.6222,0.8,0.0769,90
