strategy,embedder,corpus_size,k,mean_tokens,mean_cost_usd,mean_latency_ms,recall_at_k,recall_ci_lo,recall_ci_hi,index_build_time_s,n_queries_evaluated
full_corpus,n/a,15,15,1200.6,0.003602,0.0004,1.0,1.0,1.0,0.0,90
rag,tfidf,15,5,429.6,0.001289,0.5246,0.8889,0.8222,0.9444,0.0022,90
rag,bm25,15,5,444.7,0.001334,0.0864,0.8222,0.7444,0.9,0.0003,90
rag,lsa,15,5,434,0.001302,0.1488,0.8889,0.8222,0.9444,0.0084,90
full_corpus,n/a,50,50,2447.4,0.007342,0.0008,1.0,1.0,1.0,0.0,90
rag,tfidf,50,5,357.6,0.001073,0.3889,0.8667,0.7889,0.9333,0.0013,90
rag,bm25,50,5,398.4,0.001195,0.1355,0.7333,0.6333,0.8222,0.0008,90
rag,lsa,50,5,343.4,0.00103,0.335,0.8444,0.7667,0.9111,0.0124,90
full_corpus,n/a,100,100,4324.5,0.012973,0.0014,1.0,1.0,1.0,0.0,90
rag,tfidf,100,5,332.8,0.000998,0.3888,0.8222,0.7444,0.9,0.005,90
rag,bm25,100,5,389.1,0.001167,0.1679,0.7111,0.6111,0.8,0.0008,90
rag,lsa,100,5,331.9,0.000996,0.1691,0.8222,0.7444,0.9,0.009,90
full_corpus,n/a,500,500,19178.4,0.057535,0.0061,1.0,1.0,1.0,0.0,90
rag,tfidf,500,5,306.5,0.000919,0.3414,0.6889,0.5889,0.7778,0.0059,90
rag,bm25,500,5,377.7,0.001133,0.5725,0.6889,0.5889,0.7778,0.0027,90
rag,lsa,500,5,298.2,0.000895,0.2035,0.6667,0.5667,0.7667,0.0235,90
full_corpus,n/a,1000,1000,37258.9,0.111777,0.012,1.0,1.0,1.0,0.0,90
rag,tfidf,1000,5,306.4,0.000919,0.3587,0.6889,0.5889,0.7778,0.0096,90
rag,bm25,1000,5,379.2,0.001138,1.1278,0.6667,0.5667,0.7667,0.0051,90
rag,lsa,1000,5,301.0,0.000903,0.2705,0.6667,0.5667,0.7667,0.0371,90
full_corpus,n/a,2000,2000,73437.9,0.220314,0.0238,1.0,1.0,1.0,0.0,90
rag,tfidf,2000,5,322.5,0.000967,0.4339,0.7111,0.6222,0.8,0.0178,90
rag,bm25,2000,5,381.8,0.001145,2.0062,0.6667,0.5667,0.7667,0.0124,90
rag,lsa,2000,5,310.5,0.000932,0.3679,0.6889,0.5889,0.7778,0.0677,90
