sample_id,true_class,true_is_attack,zscore_flagged_attack,isoforest_flagged_attack
Backdoor_Malware_0000,Backdoor_Malware,True,False,False
Backdoor_Malware_0001,Backdoor_Malware,True,False,False
Backdoor_Malware_0002,Backdoor_Malware,True,False,False
Backdoor_Malware_0003,Backdoor_Malware,True,False,False
Benign_Final_0000,Benign_Final,False,False,False
Benign_Final_0001,Benign_Final,False,False,False
Benign_Final_0002,Benign_Final,False,False,False
Benign_Final_0003,Benign_Final,False,False,False
BrowserHijacking_0000,BrowserHijacking,True,False,False
BrowserHijacking_0001,BrowserHijacking,True,False,False
BrowserHijacking_0002,BrowserHijacking,True,False,False
BrowserHijacking_0003,BrowserHijacking,True,False,False
CommandInjection_0000,CommandInjection,True,False,False
CommandInjection_0001,CommandInjection,True,False,False
CommandInjection_0002,CommandInjection,True,False,False
CommandInjection_0003,CommandInjection,True,False,False
DDoS-ACK_Fragmentation_0000,DDoS-ACK_Fragmentation,True,False,False
DDoS-ACK_Fragmentation_0001,DDoS-ACK_Fragmentation,True,False,False
DDoS-ACK_Fragmentation_0002,DDoS-ACK_Fragmentation,True,False,False
DDoS-ACK_Fragmentation_0003,DDoS-ACK_Fragmentation,True,False,False
DDoS-HTTP_Flood_0000,DDoS-HTTP_Flood,True,True,True
DDoS-HTTP_Flood_0001,DDoS-HTTP_Flood,True,True,True
DDoS-HTTP_Flood_0002,DDoS-HTTP_Flood,True,True,True
DDoS-HTTP_Flood_0003,DDoS-HTTP_Flood,True,True,True
DDoS-ICMP_Flood_0000,DDoS-ICMP_Flood,True,False,True
DDoS-ICMP_Flood_0001,DDoS-ICMP_Flood,True,False,True
DDoS-ICMP_Flood_0002,DDoS-ICMP_Flood,True,False,True
DDoS-ICMP_Flood_0003,DDoS-ICMP_Flood,True,False,True
DDoS-ICMP_Fragmentation_0000,DDoS-ICMP_Fragmentation,True,False,True
DDoS-ICMP_Fragmentation_0001,DDoS-ICMP_Fragmentation,True,False,True
DDoS-ICMP_Fragmentation_0002,DDoS-ICMP_Fragmentation,True,False,True
DDoS-ICMP_Fragmentation_0003,DDoS-ICMP_Fragmentation,True,False,True
DDoS-PSHACK_FLOOD_0000,DDoS-PSHACK_FLOOD,True,True,True
DDoS-PSHACK_FLOOD_0001,DDoS-PSHACK_FLOOD,True,True,True
DDoS-PSHACK_FLOOD_0002,DDoS-PSHACK_FLOOD,True,True,True
DDoS-PSHACK_FLOOD_0003,DDoS-PSHACK_FLOOD,True,True,True
DDoS-RSTFINFLOOD_0000,DDoS-RSTFINFLOOD,True,True,True
DDoS-RSTFINFLOOD_0001,DDoS-RSTFINFLOOD,True,True,True
DDoS-RSTFINFLOOD_0002,DDoS-RSTFINFLOOD,True,True,True
DDoS-RSTFINFLOOD_0003,DDoS-RSTFINFLOOD,True,True,True
