Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
22.4,6,60.6,157.1165177651664,0.0,0.0,0.0,0.0,0.6,0.0,0.0,6,0,0,0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,6348,60,1494,634.8,739.485226356822,634.8,0.0068063020706176,10,546838.4000000001
21.2,6,97.1,212.69290060851927,0.0,0.0,0.0,0.1,0.6,0.0,0.0,6,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,3703,60,1494,370.3,594.198255354782,370.3,0.0048779010772705,10,353071.5666666667
27.2,6,60.6,223.96377539033296,0.0,0.0,0.0,0.0,0.8,0.0,0.0,8,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,9216,60,1494,921.6,738.9679289387327,921.6,0.0045114994049072,10,546073.6
23.6,6,56.7,182.82844838107857,0.0,0.0,0.0,0.1,0.7,0.0,0.0,7,0,0,0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,4983,60,1494,498.3,687.3520931807803,498.3,0.0060436964035034,10,472452.9000000001
27.2,6,62.3,408.7935907682111,0.0,0.0,0.0,0.0,0.8,0.0,0.0,8,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,10644,60,1494,1064.4,691.7236442395184,1064.4,0.0039518117904663,10,478481.5999999999
22.4,6,60.6,136.35312705213812,0.0,0.0,0.0,0.0,0.6,0.0,0.0,6,0,0,0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,6348,60,1494,634.8,739.4852263568218,634.8,0.008125877380371,10,546838.4
29.6,6,60.6,365.832308484008,0.0,0.0,0.0,0.0,0.9,0.0,0.0,9,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,10650,60,1494,1065.0,690.7575551523124,1065.0,0.0029406070709228,10,477146.0
24.8,6,58.9,168.50617288910493,0.0,0.0,0.0,0.0,0.7,0.0,0.0,7,0,0,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,6354,60,1494,635.4,738.9692821761945,635.4,0.0059771060943603,10,546075.6000000001
27.2,6,58.9,266.89472612502544,0.0,0.0,0.0,0.2,0.8,0.0,0.0,8,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,3724,60,1494,372.4,592.9053137821511,372.4,0.003832197189331,10,351536.71111111104
29.6,6,57.2,478.1468308253534,0.0,0.0,0.0,0.0,0.9,0.0,0.0,9,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,7794,60,1494,779.4,753.2566627650897,779.4,0.0020915031433105,10,567395.6000000001
27.2,6,57.2,223.81319302888977,0.0,0.0,0.0,0.0,0.8,0.0,0.0,8,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,6360,60,1494,636.0,738.4524358413344,636.0,0.0045202016830444,10,545312.0
