Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance
8.0,17,65.91,3115.754442265407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,54925,79,554,549.25,47.5,549.25,0.0003432011604309,100,2256.25
8.0,17,64.0,4055.7984818449936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,55400,554,554,554.0,0.0,554.0,0.0002472496032714,100,0.0
8.0,17,64.0,11177.061237541971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,55400,554,554,554.0,0.0,554.0,9.058952331542968e-05,100,0.0
8.0,17,64.0,4352.201884364753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,54073,90,554,540.73,76.02390041522106,540.73,0.0002308392524719,100,5779.633434343449
7.92,17,64.0,4390.79193928291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.01,0.0,1.0,1.0,55428,554,582,554.28,2.8000000000000003,554.28,0.0002284812927246,100,7.840000000000001
8.24,17,64.59,1180.7058386373042,0.0,0.0,0.0,0.01,0.01,0.0,0.0,1,0,0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.99,0.0,0.0,0.0,0.0,1.0,1.0,55161,315,554,551.61,23.89999999999997,551.61,0.0008470797538757,100,571.2099999999986
8.68,17,68.45,2128.4724724318344,0.0,0.02,0.0,0.01,0.03,0.0,0.0,3,2,0,0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.96,0.0,0.01,0.0,0.0,0.99,0.99,53561,60,554,535.61,90.96795917222497,535.61,0.0004716205596923,100,8275.169595959585
8.0,17,64.0,3339.9990444186083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,55400,554,554,554.0,0.0,554.0,0.0002994203567504,100,0.0
8.0,17,64.0,14238.734426452116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,55400,554,554,554.0,0.0,554.0,7.153987884521484e-05,100,0.0
7.76,17,64.0,2125.947965188478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.01,0.02,0.0,0.99,0.99,53700,60,582,537.0,87.52869659301872,537.0,0.0004703879356384,100,7661.272727272727
