sample_id,true_class,source_file,row_start,row_end,image_path
Backdoor_Malware_0000,Backdoor_Malware,data/CSV/Backdoor_Malware/Backdoor_Malware.pcap.csv,1991,2021,results/viz/Backdoor_Malware/Backdoor_Malware_0000.png
Backdoor_Malware_0001,Backdoor_Malware,data/CSV/Backdoor_Malware/Backdoor_Malware.pcap.csv,2180,2210,results/viz/Backdoor_Malware/Backdoor_Malware_0001.png
Backdoor_Malware_0002,Backdoor_Malware,data/CSV/Backdoor_Malware/Backdoor_Malware.pcap.csv,2860,2890,results/viz/Backdoor_Malware/Backdoor_Malware_0002.png
Backdoor_Malware_0003,Backdoor_Malware,data/CSV/Backdoor_Malware/Backdoor_Malware.pcap.csv,3009,3039,results/viz/Backdoor_Malware/Backdoor_Malware_0003.png
Benign_Final_0000,Benign_Final,data/CSV/Benign_Final/BenignTraffic.pcap.csv,81599,81629,results/viz/Benign_Final/Benign_Final_0000.png
Benign_Final_0001,Benign_Final,data/CSV/Benign_Final/BenignTraffic1.pcap.csv,16412,16442,results/viz/Benign_Final/Benign_Final_0001.png
Benign_Final_0002,Benign_Final,data/CSV/Benign_Final/BenignTraffic2.pcap.csv,93166,93196,results/viz/Benign_Final/Benign_Final_0002.png
Benign_Final_0003,Benign_Final,data/CSV/Benign_Final/BenignTraffic3.pcap.csv,37002,37032,results/viz/Benign_Final/Benign_Final_0003.png
BrowserHijacking_0000,BrowserHijacking,data/CSV/BrowserHijacking/BrowserHijacking.pcap.csv,30,60,results/viz/BrowserHijacking/BrowserHijacking_0000.png
BrowserHijacking_0001,BrowserHijacking,data/CSV/BrowserHijacking/BrowserHijacking.pcap.csv,2913,2943,results/viz/BrowserHijacking/BrowserHijacking_0001.png
BrowserHijacking_0002,BrowserHijacking,data/CSV/BrowserHijacking/BrowserHijacking.pcap.csv,5089,5119,results/viz/BrowserHijacking/BrowserHijacking_0002.png
BrowserHijacking_0003,BrowserHijacking,data/CSV/BrowserHijacking/BrowserHijacking.pcap.csv,5317,5347,results/viz/BrowserHijacking/BrowserHijacking_0003.png
CommandInjection_0000,CommandInjection,data/CSV/CommandInjection/CommandInjection.pcap.csv,640,670,results/viz/CommandInjection/CommandInjection_0000.png
